,ApplicationID,LicenseNumber,LicenseType,ApplicationorRenewal,BusinessName,Status,LicenseCategory,ApplicationCategory,City,Zip,ContactPhone,LicenseStatus,EndYear,EndMonth,EndDay,StartYear,StartMonth,StartDay,LicenseCreationDateStartYear,LicenseCreationDateStartMonth,LicenseCreationDateStartDay,LicenseExpirationDateEndYear,LicenseExpirationDateEndMonth,LicenseExpirationDateEndDay
180151,819-2017-RHIC,1182400-DCA,Business,Renewal,"BATEN, MOHAMMED A",Issued,Home Improvement Contractor,Special,BROOKLYN,11218,3472108912,Inactive,2017,1,7,2017,1,6,2004,10,12,2019,2,28
122277,7196-2013-RCRD,1376365-DCA,Business,Renewal,"COLON, ANGEL A",Issued,Tobacco Retail Dealer,Basic,BROOKLYN,11221,718-417-5109,Inactive,2013,12,21,2013,12,20,2010,11,8,2015,12,31
47110,738-2019-RDEB,1370235-DCA,Business,Renewal,"BCA FINANCIAL SERVICES, INC.",Issued,Debt Collection Agency,Basic,PALMETTO BAY,33157,3059092200,Active,2019,1,8,2019,1,7,2010,9,10,2021,1,31
29404,19897-2017-ALAU,2064392-DCA,Business,Application,NEW FRESH CLEANERS 300 CORP.,Issued,Laundries,Basic,NEW YORK,10280,2129457777,Active,2018,1,5,2017,12,20,2018,1,4,2021,12,31
49437,18018-2019-RHIC,0917133-DCA,Business,Renewal,"GEYDA, MICHAEL",Issued,Home Improvement Contractor,Special,MOORESVILLE,28117,5166957495,Active,2019,4,18,2019,4,17,2003,2,27,2021,2,28
201226,13072-2018-RSWC,1422296-DCA,Business,Renewal,11 CARMINE TACOS LLC,Issued,Sidewalk Cafe,Special,NEW YORK,10014,2126272051,Active,2018,9,14,2018,9,14,2012,4,23,2020,9,15
196333,1761-2017-RHIC,2043387-DCA,Business,Renewal,JYOTI CONTRACTING INC.,Issued,Home Improvement Contractor,Special,BROOKLYN,11235,347-260-6983,Inactive,2017,1,12,2017,1,12,2016,9,7,2019,2,28
123500,1596-2017-RHIC,2018702-DCA,Business,Renewal,"LOVE, FERDINAND A",Issued,Home Improvement Contractor,Special,JAMAICA,11435,7182973554,Active,2017,1,12,2017,1,11,2015,2,26,2021,2,28
198220,11757-2017-AHIC,2057817-DCA,Business,Application,MARTINEZ HOME IMPROVEMENTS & GENERAL CONTRACTORS CORP,Issued,Home Improvement Contractor,Special,BRONX,10452,3477480968,Active,2017,9,6,2017,8,16,2017,9,5,2021,2,28
46222,31989-2016-RDEB,1223521-DCA,Business,Renewal,"PALISADES COLLECTION, LLC",Issued,Debt Collection Agency,Basic,ENGLEWOOD CLIFFS,07632,2015675648,Active,2017,1,11,2017,1,10,2013,1,29,2021,1,31
15345,8396-2013-RCRD,1451659-DCA,Business,Renewal,NYC SMOKES & MORE INC.,Issued,Tobacco Retail Dealer,Basic,NEW YORK,10012,212-466-3636,Active,2013,12,31,2013,12,28,2012,12,6,2021,12,31
197767,876-2017-RHIC,1264489-DCA,Business,Renewal,GILLOCO CONSTRUCTION INC.,Issued,Home Improvement Contractor,Special,NEW YORK,10011,6462082541,Active,2017,1,7,2017,1,6,2007,8,16,2021,2,28
98005,455-2019-RELE,1456370-DCA,Business,Renewal,CELL NATION OF 77 INC.,Issued,Electronics Store,Basic,JACKSON HEIGHTS,11372,6465717307,Active,2019,1,4,2019,1,3,2013,2,8,2020,12,31
20830,20015-2017-ALAU,2064536-DCA,Business,Application,"ACE LAUNDROMAT, INC.",Issued,Laundries,Basic,BROOKLYN,11208,718-277-0513,Active,2018,1,7,2017,12,21,2018,1,6,2021,12,31
102115,721-2017-RHIC,1352845-DCA,Business,Renewal,UPPER EASTSIDE KITCHEN & BATH INC.,Issued,Home Improvement Contractor,Special,NEW YORK,10075,2127171726,Inactive,2017,1,6,2017,1,5,2010,5,5,2019,2,28
110272,871-2017-RHIC,2036165-DCA,Business,Renewal,SANDHU BUILDERS 1 INC.,Issued,Home Improvement Contractor,Special,OZONE PARK,11417,5165034241,Active,2017,1,7,2017,1,6,2016,4,18,2021,2,28
25670,16840-2017-ACWS,2064669-DCA,Business,Application,MERRICK MAGIC ENTERPRISES INC.,Issued,Car Wash,Basic,JAMAICA,11433,5169067578,Active,2018,1,10,2017,11,15,2018,1,9,2021,10,31
124515,23288-2016-ATTC,2047096-DCA,Business,Application,SHOWTIME RECOVERY CORP,Issued,Tow Truck Company,Special,BRONX,10461,3476913544,Active,2017,1,7,2016,12,16,2017,1,6,2020,4,30
19802,66-2018-ALAU,2064772-DCA,Business,Application,W Super Laundromat Corp,Issued,Laundries,Basic,NEW YORK,10029,2124647300,Inactive,2018,1,10,2018,1,3,2018,1,10,2019,12,31
125426,4657-2019-ASHG,2085285-DCA,Business,Application,348 EAST INC,Issued,Secondhand Dealer - General,Basic,NEW YORK,10029,212-289-8931,Active,2019,5,2,2019,4,23,2019,5,1,2021,7,31
109308,21009-2017-RSHG,1190271-DCA,Business,Renewal,"INNOVATIVE AUDIO PRODUCTS, INC.",Issued,Secondhand Dealer - General,Basic,NEW YORK,10155,2126344444,Active,2017,9,7,2017,9,6,2005,3,4,2021,7,31
48932,798-2017-RHIC,2015663-DCA,Business,Renewal,"BEN KRUPINSKI GENERAL CONTRACTOR, INC.",Issued,Home Improvement Contractor,Special,EAST HAMPTON,11937,6313243656,Inactive,2017,1,10,2017,1,6,2014,11,19,2019,2,28
38789,3124-2019-AELE,2083625-DCA,Business,Application,GLOW RAVE INC,Issued,Electronics Store,Basic,BROOKLYN,11204,9172010128,Active,2019,3,26,2019,3,22,2019,3,25,2020,12,31
119532,999-2017-RHIC,1311602-DCA,Business,Renewal,BRAVO BUILDING SERVICES INC.,Issued,Home Improvement Contractor,Special,COMMACK,11725,8665956216,Active,2017,1,10,2017,1,7,2013,10,10,2021,2,28
194903,3920-2016-ASHA,2036441-DCA,Business,Application,INFINITI OF BAYSIDE LLC,Issued,Secondhand Dealer - Auto,Basic,BAYSIDE,11361,7188198400,Active,2016,4,22,2016,4,21,2016,4,21,2021,7,31
125846,34314-2018-RELE,2047030-DCA,Business,Renewal,ELITE WIRELESS GROUP NY LLC,Issued,Electronics Store,Basic,OZONE PARK,11417,718-484-7746,Active,2019,1,8,2018,12,31,2017,1,4,2020,12,31
37497,356-2017-RHIC,0859929-DCA,Business,Renewal,HESCO CONSTRUCTION CORP,Issued,Home Improvement Contractor,Special,PORT WASHINGTON,11050,5167672109,Active,2017,1,11,2017,1,10,1996,12,30,2021,2,28
123446,32454-2016-RHIC,0925386-DCA,Business,Renewal,NEW YORK KITCHEN DESIGN CENTER INC.,Issued,Home Improvement Contractor,Special,STATEN ISLAND,10305,7187201955,Active,2017,1,10,2017,1,9,2002,12,4,2021,2,28
130817,30763-2016-RHIC,1308065-DCA,Business,Renewal,"DSA REMODELING, INC.",Issued,Home Improvement Contractor,Special,STATEN ISLAND,10310,9173856526,Active,2017,1,10,2017,1,9,2009,1,26,2021,2,28
184807,75-2017-AHIC,2047131-DCA,Business,Application,BEN KEN CONTRACTING INC.,Issued,Home Improvement Contractor,Special,STATEN ISLAND,10305,646-533-5000,Active,2017,1,7,2017,1,4,2017,1,6,2021,2,28
25877,7709-2018-AECD,2074333-1-DCA,Business,Application,NDL FOOD INC.,Issued,Electronic Cigarette Dealer,Basic,NEW YORK,10013,732-609-2760,Active,2018,6,26,2018,4,17,2018,6,25,2021,11,30
141843,17941-2016-RHIC,1347572-DCA,Business,Renewal,"ELLIOTT, DARREN",Issued,Home Improvement Contractor,Special,HOWARD BEACH,11414,9176810001,Active,2017,1,11,2016,11,4,2010,3,24,2021,2,28
187280,1072-2017-RHIC,1029340-DCA,Business,Renewal,NEW YORK CONSTRUCTION & RENOVATION INC.,Issued,Home Improvement Contractor,Special,BROOKLYN,11214,7182364542,Active,2017,1,10,2017,1,9,2000,3,21,2021,2,28
172811,1483-2017-RHIC,1358090-DCA,Business,Renewal,"HAJDARAJ, VALENTIN",Issued,Home Improvement Contractor,Special,BRONX,10462,6463191087,Active,2017,1,12,2017,1,11,2010,6,8,2021,2,28
152608,598-2019-RHIC,1462310-DCA,Business,Renewal,JAT PAINTING CONSTRUCTION CORPORATION,Issued,Home Improvement Contractor,Special,CORONA,11368,3475618883,Active,2019,1,5,2019,1,4,2013,4,15,2021,2,28
186889,18685-2019-RPWN,0922990-DCA,Business,Renewal,PRESTAMOS PEPE INC.,Issued,Pawnbroker,Basic,NEW YORK,10033,2127400850,Active,2019,4,27,2019,4,26,2004,4,30,2020,4,30
173155,156-2017-AHIC,2047076-DCA,Business,Application,COMPLETE RENOVATION & CONTRACTING CORP,Issued,Home Improvement Contractor,Special,OZONE PARK,11416,6466845911,Active,2017,1,6,2017,1,5,2017,1,5,2021,2,28
124295,18726-2019-RPWN,0629547-DCA,Business,Renewal,"GRAMERCY PAWNBROKERS, INC.",Issued,Pawnbroker,Basic,NEW YORK,10010,2124772135,Active,2019,4,27,2019,4,26,2003,5,7,2020,4,30
174558,46-2017-RELE,2035692-DCA,Business,Renewal,5G COMMUNICATIONS CORP,Issued,Electronics Store,Basic,BRONX,10456,6463693117,Inactive,2017,1,11,2017,1,2,2016,4,7,2018,12,31
109858,18853-2016-RHIC,0953111-DCA,Business,Renewal,"GENERAL LANDSCAPING DESIGN, INC.",Issued,Home Improvement Contractor,Special,BROOKLYN,11228,7186800985,Active,2017,1,6,2017,1,5,2011,12,8,2021,2,28
177344,24572-2016-RHIC,2000626-DCA,Business,Renewal,SUNRISE CONTRACTING CORP.,Issued,Home Improvement Contractor,Special,BROOKLYN,11218,7188642969,Active,2017,1,6,2016,11,29,2013,11,12,2021,2,28
161556,1348-2019-RDPD,2050808-DCA,Business,Renewal,MYRTLE AVENUE TRADING LLC,Issued,Dealer In Products,Basic,GLENDALE,11385,3473842789,Active,2019,1,10,2019,1,9,2017,4,7,2021,3,15
172658,18395-2018-AHIC,2081085-DCA,Business,Application,YANKEE HOME IMPROVEMENT CONSTRUCTION INC.,Issued,Home Improvement Contractor,Special,STATEN ISLAND,10314,718 524-4362,Active,2019,1,4,2018,12,21,2019,1,3,2021,2,28
194411,34358-2018-RELE,1197256-DCA,Business,Renewal,"UNIVERSAL GAME DEPOT, INC.",Issued,Electronics Store,Basic,BROOKLYN,11212,7183458186,Active,2019,1,8,2018,12,31,2005,5,17,2020,12,31
130186,18869-2019-RADO,1174487-DCA,Business,Renewal,"N.Y. PARTY WORKS, INC.",Issued,Amusement Device Portable,Special,DEER PARK,11729,6315011414,Active,2019,5,1,2019,4,30,2006,4,14,2020,3,15
118634,32784-2016-RHIC,1415272-DCA,Business,Renewal,TOSCANO FLOOR DESIGN LLC,Issued,Home Improvement Contractor,Special,LONG IS CITY,11101,6464900098,Active,2017,1,10,2017,1,9,2011,12,7,2021,2,28
107358,1318-2017-RHIC,2011749-DCA,Business,Renewal,"WASEEM, MUHAMMAD",Issued,Home Improvement Contractor,Special,BROOKLYN,11214,7182000973,Active,2017,1,11,2017,1,10,2014,8,7,2021,2,28
122080,497-2019-RHIC,1214864-DCA,Business,Renewal,DLJ HOME REMODELING INC.,Issued,Home Improvement Contractor,Special,SOUTH OZONE PARK,11420,7188434445,Active,2019,1,5,2019,1,4,2007,7,27,2021,2,28
156699,28223-2016-ASHG,2047159-DCA,Business,Application,"FARAJIAN, NASIM",Issued,Secondhand Dealer - General,Basic,BROOKLYN,11201,7188021892,Active,2017,1,7,2016,12,27,2017,1,6,2021,7,31
97307,15662-2016-RHIC,1267144-DCA,Business,Renewal,KWAN BAE KIM,Issued,Home Improvement Contractor,Special,PORT WASHINGTON,11050,5167679536,Inactive,2017,1,7,2017,1,6,2007,9,7,2019,2,28
134857,33484-2016-RELE,1379892-DCA,Business,Renewal,T-MOBILE NORTHEAST LLC,Issued,Electronics Store,Basic,HOLLIS,11423,3026368910,Inactive,2017,1,7,2017,1,6,2010,12,31,2018,12,31
20105,20272-2017-ALAU,2064477-DCA,Business,Application,NEXTCLEANERS VALET LLC,Issued,Laundries,Basic,NEW YORK,10038,91725198261,Inactive,2018,1,6,2017,12,28,2018,1,5,2019,12,31
109675,944-2017-RELE,0898335-DCA,Business,Renewal,"DUDDY'S ELECTRONICS & APPLIANCE CENTER, INC.",Issued,Electronics Store,Basic,BROOKLYN,11219,718-851-9400,Active,2017,1,7,2017,1,6,1994,12,2,2020,12,31
55909,18797-2019-RADO,2010725-DCA,Business,Renewal,"BILLMAR AMUSEMENTS N.Y. PARTY WORKS, INC.",Issued,Amusement Device Portable,Special,DEER PARK,11729,6315011414,Active,2019,4,27,2019,4,26,2014,7,16,2020,3,15
55059,18969-2019-RHIC,2016506-DCA,Business,Renewal,EDEN CONSTRUCTION INC,Issued,Home Improvement Contractor,Special,VALLEY STREAM,11580,646857510,Active,2019,5,1,2019,4,30,2014,12,16,2021,2,28
135958,33812-2018-RDPD,1104838-DCA,Business,Renewal,"DOME INTERNATIONAL, INC.",Issued,Dealer In Products,Basic,BROOKLYN,11215,7188545500,Active,2019,1,5,2018,12,27,2002,3,28,2021,3,15
160309,826-2019-RHIC,1307961-DCA,Business,Renewal,OSC RENOVATIONS LLC,Issued,Home Improvement Contractor,Special,EAST ELMHURST,11370,7186147732,Active,2019,1,8,2019,1,7,2009,1,23,2021,2,28
122823,1487-2017-RHIC,1394218-DCA,Business,Renewal,FPA CONSTRUCTION INC,Issued,Home Improvement Contractor,Special,CORONA,11368,9176273104,Active,2017,1,12,2017,1,11,2011,5,27,2021,2,28
46983,1470-2017-RHIC,1390581-DCA,Business,Renewal,"HINES & ZAFFARESE LANDSCAPING, INC.",Issued,Home Improvement Contractor,Special,NEW HYDE PARK,11040,5167473095,Active,2017,1,12,2017,1,11,2011,5,4,2021,2,28
2370,563-2017-RDEB,2017474-DCA,Business,Renewal,"Edgewater Consulting Group, LLC",Issued,Debt Collection Agency,Basic,TUCSON,85712,2538357341,Active,2017,1,6,2017,1,5,2015,1,21,2021,1,31
190867,1014-2017-RELE,1432971-DCA,Business,Renewal,NEXT LEVEL ELECTRONICS INC,Issued,Electronics Store,Basic,BRONX,10456,7184108200,Active,2017,1,12,2017,1,7,2012,6,6,2020,12,31
15454,17692-2017-ALAU,2064468-DCA,Business,Application,NY CITY LAUNDROMAT 1 INC.,Issued,Laundries,Basic,BROOKLYN,11221,9173788382,Active,2018,1,6,2017,11,22,2018,1,5,2021,12,31
48203,1073-2017-RDEB,1464323-DCA,Business,Renewal,"FIVE LAKES AGENCY, INC.",Issued,Debt Collection Agency,Basic,TROY,48098,8558241000,Inactive,2017,1,10,2017,1,9,2013,5,7,2019,1,31
111739,819-2019-RDPD,1377544-DCA,Business,Renewal,"DBG SECURITY DRUGS, INC.",Issued,Dealer In Products,Basic,BRONX,10469,7186546974,Active,2019,1,8,2019,1,7,2012,3,19,2021,3,15
24330,20252-2017-ALAU,2064687-DCA,Business,Application,"WAVE WIZARD, LLC",Issued,Laundries,Basic,BROOKLYN,11223,347-374-3233,Active,2018,1,10,2017,12,28,2018,1,9,2021,12,31
125266,2641-2017-RHIC,1074900-DCA,Business,Renewal,"FORTUNE, STEPHEN L.",Issued,Home Improvement Contractor,Special,BROOKLYN,11236,347-678-4014,Active,2017,1,19,2017,1,18,2001,3,15,2021,2,28
50968,1295-2017-RHIC,1314375-DCA,Business,Renewal,"JUDITH MILLS-JOHNSON, INC.",Issued,Home Improvement Contractor,Special,YONKERS,10705,9149680181,Inactive,2017,1,11,2017,1,10,2009,4,15,2019,2,28
179667,581-2017-RHIC,2029110-DCA,Business,Renewal,AVS CONSTRUCTION CORP,Issued,Home Improvement Contractor,Special,SOUTH OZONE PARK,11420,9173373215,Active,2017,1,6,2017,1,5,2015,10,2,2021,2,28
161400,569-2017-RELE,2002388-DCA,Business,Renewal,cell nation of queens inc,Issued,Electronics Store,Basic,JAMAICA,11435,6319430014,Active,2017,1,6,2017,1,5,2014,1,8,2020,12,31
111700,857-2017-RHIC,1255941-DCA,Business,Renewal,"MARJORIE HERSCHLER, INC.",Issued,Home Improvement Contractor,Special,JAMAICA,11436,6468521340,Active,2017,1,7,2017,1,6,2007,5,18,2021,2,28
183572,30959-2016-RHIC,2028628-DCA,Business,Renewal,PEDRO SANTOS,Issued,Home Improvement Contractor,Special,QUEENS VILLAGE,11429,917-239-4022,Active,2017,1,10,2016,12,15,2015,9,21,2021,2,28
167444,1508-2017-RHIC,1161627-DCA,Business,Renewal,"TSADIALS, SPIROS",Issued,Home Improvement Contractor,Special,FRESH MEADOWS,11365,7184452126,Active,2017,1,12,2017,1,11,2004,3,22,2021,2,28
11582,2257-2018-AECD,2069319-1-DCA,Business,Application,YORKK DELI & GROCERY INC.,Issued,Electronic Cigarette Dealer,Basic,NEW YORK,10128,917-690-3268,Active,2018,4,13,2018,2,9,2018,4,12,2021,11,30
39552,6634-2018-AECD,2072997-1-DCA,Business,Application,825 TONY DELI GROCERY CORP.,Issued,Electronic Cigarette Dealer,Basic,BRONX,10455,917-455-5595,Inactive,2018,6,10,2018,4,4,2018,6,9,2019,11,30
123175,12344-2017-AHIC,2057851-DCA,Business,Application,NY GENERAL BUILDERS CORP.,Issued,Home Improvement Contractor,Special,STATEN ISLAND,10314,718-304-6903,Inactive,2017,9,6,2017,8,30,2017,9,5,2019,2,28
10360,1165-2017-RDEB,1383850-DCA,Business,Renewal,"SACOR FINANCIAL, INC.",Issued,Debt Collection Agency,Basic,ROSEVILLE,95661,9167733500,Active,2017,1,12,2017,1,9,2011,3,3,2021,1,31
171303,17710-2019-RADO,2069569-DCA,Business,Renewal,"CARNIVAL GUYS NY, INC.",Issued,Amusement Device Portable,Special,STATEN ISLAND,10314,718-877-0854,Active,2019,4,13,2019,4,12,2018,4,17,2020,3,15
99262,33503-2016-RHIC,1164167-DCA,Business,Renewal,LOTUS METROPOLITAN CONSTRUCTION CORP.,Issued,Home Improvement Contractor,Special,BROOKLYN,11218,9178079600,Active,2016,12,31,2016,12,30,2004,4,21,2021,2,28
111759,586-2017-RELE,2030527-DCA,Business,Renewal,T-MOBILE NORTHEAST LLC,Issued,Electronics Store,Basic,NEW YORK,10036,3026368910,Active,2017,1,6,2017,1,5,2015,11,17,2020,12,31
167726,18900-2019-RHIC,1266766-DCA,Business,Renewal,TSAKSOS RESTORATION INC.,Issued,Home Improvement Contractor,Special,EAST ELMHURST,11370,7189569856,Active,2019,5,1,2019,4,30,2007,9,4,2021,2,28
104876,2871-2019-AELE,2083481-DCA,Business,Application,ROCKAWAY MINI MALL INC,Issued,Electronics Store,Basic,BROOKLYN,11212,6462904351,Active,2019,3,21,2019,3,19,2019,3,20,2020,12,31
27570,8892-2018-RTTC,2019358-DCA,Business,Renewal,56 ST AUTO REPAIR INC,Issued,Tow Truck Company,Special,BROOKLYN,11220,7182549250,Inactive,2019,1,8,2018,5,29,2015,3,11,2020,4,30
116583,33402-2016-RELE,1235548-DCA,Business,Renewal,"ELECTRONICA IN QUEENS, INC.",Issued,Electronics Store,Basic,JACKSON HTS,11372,7184243975,Inactive,2017,1,6,2016,12,29,2006,8,10,2018,12,31
133615,24949-2017-RSHA,2035494-DCA,Business,Renewal,"BAY RIDGE AUTOMOTIVE COMPANY, LLC",Denied,Secondhand Dealer - Auto,Basic,BROOKLYN,11228,3475787900,Inactive,2017,9,3,2017,8,3,2016,4,4,2017,7,31
15227,50-2017-RDEB,1258805-DCA,Business,Renewal,"A.A. ACTION COLLECTION CO., INC.",Issued,Debt Collection Agency,Basic,FLORHAM PARK,07932,9737400044,Active,2017,1,10,2017,1,9,2007,6,14,2021,1,31
142814,1289-2017-RHIC,2016377-DCA,Business,Renewal,E&V HOME REPAIRS INC,Issued,Home Improvement Contractor,Special,NEW YORK,10034,9173315570,Active,2017,1,11,2017,1,10,2014,12,11,2021,2,28
16647,14633-2019-RDEB,1388953-DCA,Business,Renewal,GOLDSTEIN & DUN ASSOCIATES LTD.,Issued,Debt Collection Agency,Basic,SHELTON,06484,2038805553,Active,2019,3,26,2019,3,25,2011,4,13,2021,1,31
169282,18965-2019-RPWN,2022112-DCA,Business,Renewal,STOP N PAWN INC,Issued,Pawnbroker,Basic,BROOKLYN,11209,646-996-6496,Active,2019,5,1,2019,4,30,2015,5,4,2020,4,30
106325,18893-2019-RADO,1315202-DCA,Business,Renewal,"BILLMAR AMUSEMENTS N.Y. PARTY WORKS, INC.",Issued,Amusement Device Portable,Special,DEER PARK,11729,6315011414,Active,2019,5,1,2019,4,30,2009,4,22,2020,3,15
43270,679-2017-RDEB,1382654-DCA,Business,Renewal,"HARVARD COLLECTION SERVICES, INC.",Issued,Debt Collection Agency,Basic,CHICAGO,60630,773-283-7500,Active,2017,1,6,2017,1,5,2013,2,5,2021,1,31
119527,669-2017-RHIC,1191367-DCA,Business,Renewal,ARI GROUP INC.,Issued,Home Improvement Contractor,Special,NEW YORK,10001,2125025353,Active,2017,1,12,2017,1,5,2007,7,10,2021,2,28
45166,31056-2017-RSWC,1459574-DCA,Business,Renewal,NOISETTE CAFE INC.,Issued,Sidewalk Cafe,Special,ASTORIA,11103,7182190704,Inactive,2017,12,22,2017,12,22,2013,3,12,2019,12,15
198466,24491-2014-RCRD,1474864-DCA,Business,Renewal,"ROY, JOYA",Issued,Tobacco Retail Dealer,Basic,NEW YORK,10018,609-233-9543,Active,2014,12,6,2014,11,14,2013,10,4,2020,12,31
99419,12922-2016-RNWS,0833841-DCA,Business,Renewal,"PARK, YOUNG RAN",Issued,Newsstand,Special,NEW YORK,10003,201-812-2911,Inactive,2016,9,27,2016,9,26,2000,11,17,2018,9,30
128022,12364-2018-AELE,2076401-DCA,Business,Application,"PEAVY, ANITA",Issued,Electronics Store,Basic,BROOKLYN,11213,3478792686,Active,2018,8,1,2018,7,24,2018,7,31,2020,12,31
43692,7059-2018-AHIC,2071081-DCA,Business,Application,WOODANDCOMPANY LLC,Issued,Home Improvement Contractor,Special,RONKONKOMA,11779,631 235-2179,Active,2018,5,13,2018,5,12,2018,5,12,2021,2,28
118256,30850-2016-RHIC,2009435-DCA,Business,Renewal,New Era Consulting Group Inc,Issued,Home Improvement Contractor,Special,BROOKLYN,11235,7187432066,Active,2017,1,12,2016,12,15,2014,6,10,2021,2,28
187155,10-2019-RDPD,1379733-DCA,Business,Renewal,"BARON HOSPITAL MEDICAL SUPPLY, INC.",Issued,Dealer In Products,Basic,BROOKLYN,11205,718-486-6164,Active,2019,1,8,2019,1,1,2010,12,30,2021,3,15
187812,18927-2019-RHIC,1163835-DCA,Business,Renewal,"RAPID CONTRACTING, INC",Issued,Home Improvement Contractor,Special,BROOKLYN,11219,7188514249,Active,2019,5,1,2019,4,30,2007,12,5,2021,2,28
136385,34451-2018-RELE,1442593-DCA,Business,Renewal,"GUITAR CENTER STORES, INC.",Issued,Electronics Store,Basic,NEW YORK,10011,212-463-7500,Active,2019,1,8,2018,12,31,2012,8,27,2020,12,31
124223,531-2019-RDPD,1176636-DCA,Business,Renewal,"HYLAN MEDICINE CABINET, INC.",Issued,Dealer In Products,Basic,STATEN ISLAND,10306,7186674300,Active,2019,1,5,2019,1,4,2004,8,10,2021,3,15
193687,3163-2019-AHIC,2085260-DCA,Business,Application,VALENTINA'S CONTRACTING & MAINTENANCE CORP,Issued,Home Improvement Contractor,Special,HOWARD BEACH,11414,7186828002,Active,2019,5,1,2019,4,30,2019,4,30,2021,2,28
109704,795-2017-RHIC,2039392-DCA,Business,Renewal,DREAM CITY CONSTRUCTION & DEVELOPMENT INC,Issued,Home Improvement Contractor,Special,GLENDALE,11385,7186280312,Active,2017,1,7,2017,1,6,2016,6,23,2021,2,28
156899,11108-2017-AEHD,2057873-DCA,Business,Application,APNA CELL COMPUTERS & ELECTRONICS INC,Issued,Electronic & Appliance Service,Basic,JACKSON HEIGHTS,11372,7188981948,Inactive,2017,9,7,2017,8,31,2017,9,6,2018,6,30
131783,15690-2016-RHIC,1113869-DCA,Business,Renewal,"MERIDIAN SERVICES, INC.",Issued,Home Improvement Contractor,Special,ROSEDALE,11422,7183418665,Active,2017,1,10,2017,1,9,2002,6,18,2021,2,28
47901,33632-2016-RDEB,2029733-DCA,Business,Renewal,"Debt Management Holdings, LLC",Issued,Debt Collection Agency,Basic,BUFFALO,14202,7169973553,Inactive,2017,1,10,2017,1,9,2015,10,22,2019,1,31
105267,31994-2016-RDEB,1294062-DCA,Business,Renewal,"PALISADES ACQUISITION XVI, LLC",Issued,Debt Collection Agency,Basic,ENGLEWOOD CLIFFS,07632,2015675648,Active,2017,1,11,2017,1,10,2013,1,29,2021,1,31
121417,28156-2016-AEHD,2047153-DCA,Business,Application,NEW YORK SOUND & SECURITY LLC,Issued,Electronic & Appliance Service,Basic,WOODHAVEN,11421,347-600-5878,Active,2017,1,7,2016,12,9,2017,1,6,2020,6,30
40026,11364-2017-AHIC,2057839-DCA,Business,Application,SMART HOME ENERGY SOURCE LLC,Issued,Home Improvement Contractor,Special,SHIRLEY,11967,631-398-3574,Active,2017,9,6,2017,8,21,2017,9,5,2021,2,28
54911,2904-2019-AHIC,2085179-DCA,Business,Application,ALL STAR INSTALLER CORP,Issued,Home Improvement Contractor,Special,W HEMPSTEAD,11552,3479528110,Active,2019,4,26,2019,4,25,2019,4,25,2021,2,28
132391,18673-2019-RHIC,1453862-DCA,Business,Renewal,INTERIA DEVELOPMENT LLC,Issued,Home Improvement Contractor,Special,NEW YORK,10009,9178555428,Active,2019,4,27,2019,4,26,2013,1,15,2021,2,28
119610,18580-2019-RHIC,2061182-DCA,Business,Renewal,"HUISSAIN, MUKURAM",Issued,Home Improvement Contractor,Special,OZONE PARK,11416,3475286058,Active,2019,4,26,2019,4,25,2017,11,20,2021,2,28
184270,11715-2016-ACRD,2042527-1-DCA,Business,Application,DUANE READE,Issued,Tobacco Retail Dealer,Basic,NEW YORK,10007,847-527-4516,Inactive,2016,8,18,2016,8,16,2016,8,17,2018,12,31
176979,28062-2016-AHIC,2047079-DCA,Business,Application,METRO STANDARDS INC,Issued,Home Improvement Contractor,Special,BROOKLYN,11235,3474391499,Active,2017,1,6,2016,12,5,2017,1,5,2021,2,28
118783,422-2019-RHIC,2050127-DCA,Business,Renewal,ARTISAN PAINTING CORP,Issued,Home Improvement Contractor,Special,BROOKLYN,11223,9175190298,Active,2019,1,4,2019,1,3,2017,3,27,2021,2,28
134246,24854-2016-RHIC,2003509-DCA,Business,Renewal,E. ROCHA CONSTRUCTION CORP,Issued,Home Improvement Contractor,Special,STATEN ISLAND,10307,7189660951,Active,2017,1,12,2017,1,11,2014,2,12,2021,2,28
160046,674-2017-RDEB,0889064-DCA,Business,Renewal,"HEALTHCARE COLLECTION SPECIALISTS, INC.",Issued,Debt Collection Agency,Basic,WALDWICK,07463,2014476789,Active,2017,1,10,2017,1,9,1997,1,17,2021,1,31
48140,1218-2017-RDEB,1424140-DCA,Business,Renewal,NATIONSTAR MORTGAGE LLC,Issued,Debt Collection Agency,Basic,COPPELL,75019,4695492000,Active,2017,1,12,2017,1,9,2012,4,5,2021,1,31
175702,805-2019-RHIC,2017546-DCA,Business,Renewal,QUICKSILVER FOX LLC,Issued,Home Improvement Contractor,Special,NEW YORK,10009,9176973934,Active,2019,1,10,2019,1,7,2015,1,23,2021,2,28
150353,16121-2016-RELE,2030214-DCA,Business,Renewal,CROWN HEIGHTS WIRELESS INC.,Issued,Electronics Store,Basic,BROOKLYN,11238,7185522877,Active,2017,1,10,2017,1,9,2015,11,6,2020,12,31
182001,24942-2017-RSHG,1473003-DCA,Business,Renewal,J & A AUTO CENTER INC,Denied,Secondhand Dealer - General,Basic,BRONX,10458,9178011391,Inactive,2017,9,3,2017,8,3,2013,9,13,2017,7,31
